,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,35.6,89,75,34.45,AR,1603165174
1,Oistins,13.07,-59.53,80.6,78,40,4.7,BB,1603165174
2,Semey,50.41,80.23,33.8,69,1,8.95,KZ,1603165174
3,Dubbo,-32.25,148.62,77.0,36,40,5.82,AU,1603165174
4,Rikitea,-23.12,-134.97,74.25,77,0,11.7,PF,1603164922
5,Aklavik,68.22,-135.01,23.0,92,90,3.36,CA,1603165175
6,Mataura,-46.19,168.86,53.01,69,89,14.0,NZ,1603164708
7,Bredasdorp,-34.53,20.04,55.4,87,53,9.17,ZA,1603164710
8,Jamestown,42.1,-79.24,54.0,100,90,4.7,US,1603164923
9,Pevek,69.7,170.31,26.58,93,21,14.29,RU,1603164708
10,Lebu,-37.62,-73.65,47.86,77,1,14.32,CL,1603165176
11,Mount Gambier,-37.83,140.77,59.0,62,90,8.05,AU,1603164815
12,Nemuro,43.32,145.57,59.0,41,40,6.93,JP,1603165176
13,Port Hardy,50.7,-127.42,44.6,93,40,4.7,CA,1603165176
14,Hobart,-42.88,147.33,70.0,59,20,12.75,AU,1603164912
15,Kahului,20.89,-156.47,87.8,48,20,8.05,US,1603165177
16,Clyde River,70.47,-68.59,32.0,91,90,17.22,CA,1603165177
17,Brigantine,39.41,-74.36,64.0,93,75,5.82,US,1603165177
18,Qaanaaq,77.48,-69.36,29.21,86,73,8.95,GL,1603164921
19,Sinnamary,5.38,-52.95,79.27,85,78,10.45,GF,1603165177
20,Guerrero Negro,27.98,-114.06,71.89,76,0,11.39,MX,1603165148
21,Sur,22.57,59.53,82.85,48,10,13.0,OM,1603165178
22,Ust-Nera,64.57,143.2,10.9,84,20,4.76,RU,1603165178
23,Hirara,24.8,125.28,84.2,74,75,17.22,JP,1603165178
24,Busselton,-33.65,115.33,75.99,33,5,6.51,AU,1603164888
25,Hasaki,35.73,140.83,70.0,60,75,13.87,JP,1603165170
